物料编码;零部件编号;零部件名称;图纸编号/图纸备注;材料/规格;单位;数量;采购类别;VENDOR;标准质保（类别）;海外标准质保要求;标准质保;海外协议签署情况;通则签署情况;供应商质保;标准质保差;质保需求;质保差;故障率;工时;成本价;售后成本;标准质保差;标准质保为1年的延保材料费;标准质保为1年的延保工时费;标准质保为2年的延保材料费;标准质保为2年的延保工时费;标准质保为5年的延保材料费;标准质保为5年的延保工时费;延保换件材料费;延保换件工时费;类别;备注;Vendor Description;P/N(供应商零部件编号);第二供应商信息;Second Vendor Description;SORT;Assembly Station(装配位置);Remark(备注);Remark English Description;New developed part(是否为新开发件);Technical state confirmation(技术状态确定);Section(科室);部门
10150049-00;Q67408300;Q67408300_塑料紧箍带;;;;;;苏州索利电工有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10150050-00;Q72312T5F;密封垫圈;;;;1;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10152782-00;Q4420516T18F;Q4420516T18F_封闭型扁圆头抽芯铆钉;;;;16;;无锡市三星铆钉厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
10163469-00;20m×19mm;防水胶带;;;;5;;第十五事业部线束深圳工厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10173981-00;HF0206_black;扎带;;;;10;;高通泰高电器有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10175100-00;R134A;冷媒_R134A_13.6kg/瓶;;;;;;Eurotrade.Kft;保养件;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10179302-00;F3-3710100B;光照强度传感器;;;;1;;第十五事业部多媒体深圳工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10188747-00;MFT-18;塑胶条_MFT-18_龙骨;;;;;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
10197358-00;EG-1109113;安装钢套;;;;4;;比亚迪汽车工业有限公司_十五部_深圳空调分工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10197363-00;EG-1109114;橡胶衬套;;;;4;;比亚迪汽车工业有限公司_十五部_深圳空调分工厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10212986-00;K9-2950040;ECAS压力开关总成;;;;;;采埃孚商用车系统(青岛)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10213124-00;Q151B1840TF6;Q151B1840TF6_六角头螺栓;;;;;;上海上标集团紧固件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10235599-00;Q72326T5F;密封垫圈;;;;1;;海盐县海管管件制造有限公司/简阳市飞驰汽车零部件有限责任公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10235600-00;Q72318T5F;密封垫圈;;;;1;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10236768-00;ZDG155×6.4;扎带;;;;;;南通泰高电器有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10236776-00;REL30SDP6;圆孔卡扎带;;;;6;;深圳市虹宇电子有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10277564-00;e6-3642900;e6-3642900_启动按钮_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10312580-00;;组合垫圈_Φ14;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10330111-00;K11U-3774010C;K9-3774010_组合开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10349498-00;K9-3792360;K9-3792360_紧急告警灯开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10396881-00;K9-3792913/77;K9-3792913/77_堵盖-喷涂_M00666;;;;;;十五部西安电器厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10537280-00;Q80016F31;卡套;;;;;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10542393-00;BYDQ870090;衬套;;;;4;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10542394-00;BYDQ870060;衬套;;;;9;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10551511-00;K9-3411010;动力转向器总成;;;;;;博世汽车转向系统(济南)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10551525-00;K9-3629060;连接杆总成;;;;2;;采埃孚商用车系统（青岛）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10551845-00;e6-3642900;e6-3642900_启动按钮_M00000;;;;;;第十五事业部智能钥匙深圳工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10551883-00;LXC-57;铝型材;;;;4,4;;泰州市华发新型建材厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
10566802-00;BYDQ4430516T18F;封闭型沉头抽芯铆钉;;;;800;;无锡市三星铆钉厂/深圳市怡兴电子科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10567777-00;LXC-66;铝型材_LXC-66-C型压条;;;;7;;泰州市华发新型建材厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
10570878-00;Q33014T13F6P1.5;Q33014T13F6P1.5_全金属六角法兰面锁紧螺母;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10617165-00;K9-3792670;K9-3792670_投币机开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10617191-00;K9-3792520;K9-3792520_驾驶员照明灯开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10619975-00;BYDQ691B283F;多管夹片;;;;15;;江西天昊汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10627899-00;K9A-5401483;沉头盲拉钉;;;;;;奥科宁克紧固件系统(苏州)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10629413-00;K9-2105312;管夹橡胶垫;;;;15;;江西天昊汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10690891-00;Q80414F3;卡套式端直通接头体;;;;1;;海盐县海管管件制造有限公司/简阳市飞驰汽车零部件有限责任公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10694076-00;Q351B18T15F6;Q351B18T15F6_六角薄螺母;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10694150-00;Q1862030TF6P1.5;Q1862030TF6P1.5_六角法兰面螺栓-加大系列;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10695281-00;BYDQ4423209F5;封闭型扁圆头抽芯铆钉;;;;;;无锡市三星铆钉厂/深圳市怡兴电子科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
10700349-00;K9-3515010A;抢修气源接头;;;;1;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10720245-00;BYDQ8071418;可调向卡套端直角;;;;2;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10734171-00;Q40518F6;Q40518F6_重型弹簧垫圈;;;;;;上海科曼车辆部件系统股份有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10763625-00;GER040-24;接触器_GER040-24;;;;;;十四部长沙电动汽车研究所;power control;;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10770783-00;35J18L-1721105;35J18L-1721105_滚针_M00000;;;;;;十七部电动总成制造部(长沙）;动力系统;;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10786533-00;94631089;扎带;;;;15;;上海众安电器塑料有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10786907-00;K9A-3819400;乘客门蜂鸣器;;;;;;深圳市汉得利电子科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10786975-00;K9A-3506410;空压机连接管;;;;;;河北三丰橡塑制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10796001-00;Q1841250TF6;Q1841250TF6_六角法兰面螺栓_P1.75;;;;;;浙江新东方汽车零部件有限公司;动力系统;;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10811133-00;K9-4016711;三相线波纹管编织套管;;;;4;;深圳市振恺塑胶五金有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
10829440-00;K9-3792260;K9-3792260_上升和降下高度调节开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10844507-00;35J18L-1721011;行星减速器端盖;;;;;;#REF!;动力系统;;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10879807-00;K9-3629041;P型橡胶套;;;;6;;河南恒发橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10881667-00;K9-3515020;检测接头;;;;2;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
10903720-00;K9A-4002919;控制器搭铁线;;;;1;;长沙市比亚迪汽车有限公司_十五部_长沙线束工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
10907128-00;MFT-76;塑胶条;;;;0,64;;东莞市华创橡胶制品有限公司/河北昊能汽车配件科技有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10922158-00;K9-3792430;K9-3792430_电动遮阳帘开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10925426-00;K9A-3518100C;消声器总成;;;;1;;采埃孚商用车系统(青岛)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10925431-00;K9-3518020C;差式继动阀总成;;;;1;;采埃孚商用车系统(青岛)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10925434-00;K9-3535030C;单向阀总成;;;;;;采埃孚商用车系统(青岛)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10928773-00;K9-3525010C;ABS电磁阀总成;;;;2;;采埃孚商用车系统（青岛）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10932093-00;Q340B08T30F;1型六角螺母;;;;4;;BEGE/ 上海上标集团紧固件有限公司/温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
10934665-00;K9-3513050A;手动放水阀总成;;;;3;;瑞立集团瑞安汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10950823-00;K9-4016227;胶套Φ40;;;;2;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10950824-00;K9-4016228;K9-4016228_胶套Φ65_M00000;;;;;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10955411-00;Q151B0845T1F3AQ;六角头螺栓;;;;;;温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10955628-00;K9-4016218;胶套Φ30厚度3.5;;;;14;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10957716-00;Q218B0830T30F;内六角圆柱头螺钉;;;;;;浙江云端汽车部件有限公司/上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
10962217-00;Q2734216T30F;十字槽大半圆头自攻螺钉;;;;;;上海上标集团紧固件有限公司,浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
10964205-00;Q40312F61;弹簧垫圈;;;;4;;浙江云端汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
10964530-00;Q2714213F6;Q2714213F6_十字槽盘头自攻螺钉-C型;;;;4;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
10966348-00;K9-4016213;胶套Φ35 厚度1.5;;;;1;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10966349-00;K9-4016214;胶套Φ45厚度1.5;;;;1;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
11007919-00;K9-4016221;胶套Φ20厚度3.5;;;;10;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
11007920-00;K9-4016219;胶套Φ30，厚度6.0;;;;2;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
11010418-00;BYDQ220A4820F62K;十字槽盘头自攻螺钉和平垫圈组合件;;;;;;;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11020151-00;LXC-77;铝型材;;;;;;泰州市华发新型建材厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
11025013-00;K9H-1315115;排气三通;;;;;;天津市鹤鼎工贸有限公司/象山恒峰汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11027377-00;KA-2801173;O型弹性销;;;;1;;江西天昊汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11044521-00;Q32008T30F;六角法兰面螺母;;;;;;上标;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11050916-00;KD2-2950030;高度传感器;;;;4;;采埃孚商用车系统（青岛）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
11050923-00;KD2-2950010;电磁阀1;;;;;;采埃孚商用车系统（青岛）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
11050924-00;KD2-2950020;电磁阀2;;;;;;采埃孚商用车系统（青岛）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11050926-00;KD2-2950050;压力传感器;;;;;;采埃孚商用车系统（青岛）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
11056835-00;KD2-2950060;溢流阀总成;;;;1;;采埃孚商用车系统（青岛）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
11057342-00;KD2-3629010E;ECAS CAN2 电控单元;;;;;;采埃孚商用车系统（青岛）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11080643-00;K9M-3736118;拨动开关操作保护罩;;;;;;长沙海普机电设备有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11085901-00;KD2-3792911;开关面板1;;;;;;嘉灵开关制造(中山)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11085902-00;KD2-3792912;开关面板2;;;;;;嘉灵开关制造(中山)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11087513-00;PV-32A14L-T;保险丝_PV-32A14L-T_1300V_32A_M00000;;;;;;十四部长沙电动汽车研究所;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11088235-00;KD2-3792915;堵盖;;;;;;嘉灵开关制造(中山)有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11091380-00;Q2714216T30F;Q2714216T30F_十字槽盘头自攻螺钉-C型;;;;4;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11095336-00;KA-3406421;转向软管管夹支架;;;;;;江西天昊汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11105480-00;KD2-3404050;转向传动轴总成Ⅰ;;;;;;万向钱潮传动轴有限公司/江苏格尔顿传动有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11154367-00;Q2140412T30F;十字槽盘头螺钉_M4×12，不锈钢;;;;2;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11154992-00;KB-5607411;电源开关舱门锁;;;;2;;索斯科锁定系统（上海）有限公司 Onkenhout;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
11154993-00;KB-5607415;电源开关舱门锁本体垫片;;;;2;;索斯科锁定系统（上海）有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
11168832-00;K9A-5205010B;雨刮电机;;;;;;道佳(南通)汽车零配件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
11180437-00;K9-4016222;胶套Φ25厚度3.5;;;;30;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11180439-00;K9-4016239;腰形孔胶套长 腰形孔胶套长 60 宽 30 厚度 3.0;;;;10;;东莞市华创橡胶制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11188460-00;/;保险丝_170M3148_1300V_400A;;;;;;比亚迪汽车工业有限公司_十四部_深圳电控工厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
11193508-00;Φ16×2.0;尼龙管;;;;18;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11193510-00;Φ12×1.5;尼龙管;;;;17;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11193511-00;Φ12×1.5;尼龙管;;;;30;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11193512-00;Φ12×1.5;尼龙管;;;;21;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11193513-00;/;尼龙管;;;;;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身;;;;;;;
11193514-00;Φ8×1.0;尼龙管;;;;19;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11193515-00;Φ8×1.0;尼龙管;;;;42;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11193516-00;Φ16×2.0;尼龙管;;;;2;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11193517-00;/;尼龙管;;;;124;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
11193518-00;/;尼龙管;;;;43;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
11195314-00;K9A-3513060B;K9A-3513060B_8L储气筒总成_M00000;;;;1;;麻城市博远制动科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11195315-00;K9C-3513020B;20L储气筒总成;;;;1;;麻城市博远制动科技有限公司/余姚市展欣汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11197601-00;BYDQ32510T13F32A;六角凸缘防松螺母;;;;;;上海埃姆哈特紧固系统有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
1203453-00;TK-8101917;TK-8101917_除霜除雾风管10;;;;;;郑州宇晟汽车产品科技开发有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11203456-00;TK-8101914;除霜除雾风管7;;;;;;郑州宇晟汽车产品科技开发有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11203457-00;TK-8101913;除霜除雾风管6;;;;;;郑州宇晟汽车产品科技开发有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11203459-00;TK-8101911;除霜除雾风管4;;;;;;郑州宇晟汽车产品科技开发有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
11207972-00;KA-3513020B;30L储气筒总成;;;;1;;麻城市博远制动科技有限公司/余姚市展欣汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
11209982-00;KF1-1303311;散热器回液软管;;;;;;上海新上橡汽车胶管有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
11212772-00;EVR300CE-A_800V_300A;功率继电器_EVR300CE-A_800V_300A;;;;;;弗迪动力长沙电动汽车研究所;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11213484-00;EVR120CI-A_800V_120A;功率继电器_EVR120CI-A_800V_120A;;;;;;十四部长沙电动汽车研究所;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11217403-00;KF1-3792930;KF1-3792930_坡起自复位开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11224282-00;2440×1220×2mm;吸音棉;;;;;;东莞市双宇新材料科技有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
11232793-00;Q2150616T30F;内六角花形盘头螺钉;;;;4;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
